,Time,Some Parameter,Some Other Parameter,Some Noise,Some Metric
2024-02-10T21:52:21.318551000,0.2632014751434326,0.0,0.0,0.0016783948520956438,0.0016783948520956438
2024-02-10T21:52:21.448455000,0.39311647415161133,0.0,0.0,0.03964559158987309,0.03964559158987309
2024-02-10T21:52:21.556406000,0.5010793209075928,0.0,0.0,-0.014798933094043953,-0.014798933094043953
2024-02-10T21:52:21.663634000,0.6082639694213867,0.0,0.0,0.0029558407920510566,0.0029558407920510566
2024-02-10T21:52:21.772274000,0.7169151306152344,0.0,0.0,0.01626156203300667,0.01626156203300667
2024-02-10T21:52:21.881291000,0.8259539604187012,0.0,0.0,-0.015458221389281823,-0.015458221389281823
2024-02-10T21:52:21.993343000,0.9379682540893555,0.0,0.0,-0.03391880441053415,-0.03391880441053415
2024-02-10T21:52:22.103936000,1.0485846996307373,0.0,0.0,-0.0008078788372276936,-0.0008078788372276936
2024-02-10T21:52:22.209412000,1.1540606021881104,0.0,0.0,-0.011903877753867309,-0.011903877753867309
2024-02-10T21:52:22.327157000,1.271822214126587,0.0,0.0,0.0031035597804986662,0.0031035597804986662
2024-02-10T21:52:22.434585000,1.3792519569396973,0.0,0.0,-0.004593778542693494,-0.004593778542693494
2024-02-10T21:52:22.540775000,1.4854259490966797,0.0,0.0,0.025208948915158083,0.025208948915158083
2024-02-10T21:52:22.648650000,1.593306541442871,0.0,0.0,0.03666931802077779,0.03666931802077779
2024-02-10T21:52:22.757068000,1.7017016410827637,0.0,0.0,-0.005486712179228548,-0.005486712179228548
2024-02-10T21:52:22.864439000,1.809089183807373,0.0,0.0,-0.03171969502241495,-0.03171969502241495
2024-02-10T21:52:22.971996000,1.9166443347930908,0.0,0.0,0.04196343013114343,0.04196343013114343
2024-02-10T21:52:23.079679000,2.0243289470672607,0.0,0.0,0.043841086873995475,0.043841086873995475
2024-02-10T21:52:23.187940000,2.1325860023498535,0.0,0.0,-0.0478539937476096,-0.0478539937476096
2024-02-10T21:52:23.296576000,2.2412216663360596,0.0,0.0,-0.027707059577308416,-0.027707059577308416
2024-02-10T21:52:23.404120000,2.348759651184082,0.0,0.0,-0.04883112819807331,-0.04883112819807331
2024-02-10T21:52:23.511925000,2.4565939903259277,0.0,0.0,-0.029847672764448864,-0.029847672764448864
2024-02-10T21:52:23.623399000,2.568066120147705,0.0,0.0,0.004284704536921613,0.004284704536921613
2024-02-10T21:52:23.751869000,2.6965198516845703,0.0,0.0,-0.03387341843742756,-0.03387341843742756
2024-02-10T21:52:23.860304000,2.8049519062042236,0.0,0.0,-0.04476711860354206,-0.04476711860354206
2024-02-10T21:52:23.967977000,2.912630796432495,0.0,0.0,0.015864066429166556,0.015864066429166556
2024-02-10T21:52:24.075148000,3.0198028087615967,0.0,0.0,-0.010603891485424866,-0.010603891485424866
2024-02-10T21:52:24.186920000,3.1315829753875732,0.0,0.0,-0.023568869279902083,-0.023568869279902083
2024-02-10T21:52:24.295412000,3.240065336227417,0.0,0.0,0.04351402257666162,0.04351402257666162
2024-02-10T21:52:24.403336000,3.3479881286621094,0.0,0.0,0.008491252210100863,0.008491252210100863
2024-02-10T21:52:24.511461000,3.456138849258423,0.0,0.0,0.023748973779421336,0.023748973779421336
2024-02-10T21:52:24.619155000,3.5638294219970703,0.0,0.0,-0.004296621733633788,-0.004296621733633788
2024-02-10T21:52:24.727039000,3.671712636947632,0.0,0.0,-0.014302754364607595,-0.014302754364607595
2024-02-10T21:52:24.834388000,3.7790520191192627,0.0,0.0,-0.04519231251116153,-0.04519231251116153
2024-02-10T21:52:24.960268000,3.904938220977783,0.0,0.0,-0.026232374016808203,-0.026232374016808203
2024-02-10T21:52:25.081109000,4.0257728099823,0.0,0.0,0.04942218036841015,0.04942218036841015
2024-02-10T21:52:25.189419000,4.134075880050659,0.0,0.0,0.03754541240844925,0.03754541240844925
2024-02-10T21:52:25.298052000,4.242707014083862,0.0,0.0,0.0068181349705886745,0.0068181349705886745
2024-02-10T21:52:25.406561000,4.351213216781616,0.0,0.0,0.02901486411863793,0.02901486411863793
2024-02-10T21:52:25.513997000,4.458665132522583,0.0,0.0,-0.01228255726689629,-0.01228255726689629
2024-02-10T21:52:25.624429000,4.569087028503418,0.0,0.0,0.0036738921412585723,0.0036738921412585723
2024-02-10T21:52:25.732522000,4.677173137664795,0.0,0.0,0.0002760139357052993,0.0002760139357052993
2024-02-10T21:52:25.840754000,4.785398244857788,0.0,0.0,-0.02429401166279188,-0.02429401166279188
2024-02-10T21:52:25.949942000,4.89458966255188,0.0,0.0,0.007894237127331527,0.007894237127331527
2024-02-10T21:52:26.058663000,5.0033416748046875,0.0,0.0,-0.03317582842553444,-0.03317582842553444
2024-02-10T21:52:26.166772000,5.111437797546387,0.0,0.0,-0.03519600097033742,-0.03519600097033742
2024-02-10T21:52:26.291208000,5.235875606536865,0.0,0.0,-0.0245782226329067,-0.0245782226329067
2024-02-10T21:52:26.422479000,5.367116928100586,0.0,0.0,0.03251300808342274,0.03251300808342274
2024-02-10T21:52:26.530322000,5.474976062774658,0.0,0.0,-0.009983588791725007,-0.009983588791725007
2024-02-10T21:52:26.638117000,5.582762241363525,0.0,0.0,-0.016262613066020126,-0.016262613066020126
2024-02-10T21:52:26.745350000,5.689997911453247,0.0,0.0,-0.04009232902653346,-0.04009232902653346
2024-02-10T21:52:26.852510000,5.797162055969238,0.0,0.0,-0.010515795105670456,-0.010515795105670456
2024-02-10T21:52:26.960516000,5.905163764953613,0.0,0.0,-0.04620251613699103,-0.04620251613699103
2024-02-10T21:52:27.070013000,6.01468563079834,0.0,0.0,0.04821698488390294,0.04821698488390294
2024-02-10T21:52:27.177185000,6.121862411499023,0.0,0.0,0.02107026181565921,0.02107026181565921
2024-02-10T21:52:27.284012000,6.228673219680786,0.0,0.0,-0.00033320757873803733,-0.00033320757873803733
2024-02-10T21:52:27.392552000,6.337246656417847,0.0,0.0,0.005619938916828083,0.005619938916828083
2024-02-10T21:52:27.496905000,6.441582441329956,0.0,0.0,0.03737567989329447,0.03737567989329447
2024-02-10T21:52:27.606618000,6.5512871742248535,0.0,0.0,0.03887682981017657,0.03887682981017657
2024-02-10T21:52:27.735381000,6.680048227310181,0.0,0.0,-0.01701054126934678,-0.01701054126934678
2024-02-10T21:52:27.843733000,6.788404703140259,0.0,0.0,0.018589661905899512,0.018589661905899512
2024-02-10T21:52:27.951352000,6.896016836166382,0.0,0.0,0.03431480803670616,0.03431480803670616
2024-02-10T21:52:28.059197000,7.0038535594940186,0.0,0.0,-0.04682603346626449,-0.04682603346626449
2024-02-10T21:52:28.168708000,7.11336612701416,0.0,0.0,-0.021019545177659284,-0.021019545177659284
2024-02-10T21:52:28.276370000,7.22102689743042,0.0,0.0,0.025828223658575768,0.025828223658575768
2024-02-10T21:52:28.384394000,7.329057216644287,0.0,0.0,0.005795124434676224,0.005795124434676224
2024-02-10T21:52:28.492306000,7.436964750289917,0.0,0.0,-0.008699123387810948,-0.008699123387810948
2024-02-10T21:52:28.600329000,7.544976234436035,0.0,0.0,-0.03256430013183701,-0.03256430013183701
2024-02-10T21:52:28.708071000,7.652717351913452,0.0,0.0,0.0031433580046752677,0.0031433580046752677
2024-02-10T21:52:28.816662000,7.761314868927002,0.0,0.0,-0.011483899013410404,-0.011483899013410404
2024-02-10T21:52:28.925082000,7.8697521686553955,0.0,0.0,-0.015258121934074043,-0.015258121934074043
2024-02-10T21:52:29.056817000,8.00146770477295,0.0,0.0,-0.030800761821261426,-0.030800761821261426
